#tensecode	tense	pronoun	description	case	case_weak	case_cause	subject	extra
TenseImperative	الأمر	أنتما	فعل أمر	مبني على حذف النون		لاتصاله بألف الاثنين	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseImperative	الأمر	أنتما مؤ	فعل أمر	مبني على حذف النون		لاتصاله بألف الاثنين	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseImperative	الأمر	أنتم	فعل أمر	مبني على حذف النون		لاتصاله بواو الجماعة	 والواو: ضمير متصل مبني في محل رفع فاعل	
TenseImperative	الأمر	أنتن	فعل أمر	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	
TenseConfirmedImperative	الأمر المؤكد	أنت	فعل أمر	مبني على الفتح		لاتصاله بنون التوكيد	والفاعل ضمير مستتر وجوبًا تقديره أنتَ	
TenseConfirmedImperative	الأمر المؤكد	أنتِ	فعل أمر				وياء المخاطبة ضمير متصل مبني في محل رفع فاعل	
TenseConfirmedImperative	الأمر المؤكد	أنتما	فعل أمر				وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseConfirmedImperative	الأمر المؤكد	أنتما مؤ	فعل أمر				وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseConfirmedImperative	الأمر المؤكد	أنتم	فعل أمر				 والواو: ضمير متصل مبني في محل رفع فاعل	
TenseConfirmedImperative	الأمر المؤكد	أنتن	فعل أمر				والنون: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	أنا	فعل مضارع  	مجزوم وعلامة جزمه السكون الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		والفاعل ضمير مستتر وجوبًا تقديره أنا	
TenseJussiveFuture	المضارع المجزوم	أنت	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		والفاعل ضمير مستتر وجوبًا تقديره أنتَ	
TenseJussiveFuture	المضارع المجزوم	أنتِ	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وياء المخاطبة ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	هو	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره			
TenseJussiveFuture	المضارع المجزوم	هي	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره			
TenseJussiveFuture	المضارع المجزوم	أنتما	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	أنتما مؤ	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	هما	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	هما مؤ	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	نحن	فعل مضارع  	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		ونا: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	أنتم	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	أنتن	فعل مضارع  	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	هم	فعل مضارع  	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع فاعل	
TenseJussiveFuture	المضارع المجزوم	هن	فعل مضارع  	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	أنا	فعل مضارع  	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر		والفاعل ضمير مستتر وجوبًا تقديره أنا	
TenseSubjunctiveFuture	المضارع المنصوب	أنت	فعل مضارع  	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر		والفاعل ضمير مستتر وجوبًا تقديره أنتَ	
TenseSubjunctiveFuture	المضارع المنصوب	أنتِ	فعل مضارع  	منصوب بحذف النون		لأنه من الأفعال الخمسة	وياء المخاطبة ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	هو	فعل مضارع  	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر			
TenseSubjunctiveFuture	المضارع المنصوب	هي	فعل مضارع  	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر			
TenseSubjunctiveFuture	المضارع المنصوب	أنتما	فعل مضارع  	منصوب بحذف النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	أنتما مؤ	فعل مضارع  	منصوب بحذف النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	هما	فعل مضارع  	منصوب بحذف النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	هما مؤ	فعل مضارع  	منصوب بحذف النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	نحن	فعل مضارع  	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر		ونا: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	أنتم	فعل مضارع  	منصوب بحذف النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	أنتن	فعل مضارع  	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	هم	فعل مضارع  	منصوب بحذف النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع فاعل	
TenseSubjunctiveFuture	المضارع المنصوب	هن	فعل مضارع  	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	
TenseConfirmedFuture	المضارع المؤكد الثقيل	أنا	فعل مضارع مؤكّد	مبني على الفتح		لاتصاله بنون التوكيد	والفاعل ضمير مستتر وجوبًا تقديره أنا	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	أنت	فعل مضارع مؤكّد	مبني على الفتح		لاتصاله بنون التوكيد	والفاعل ضمير مستتر وجوبًا تقديره أنتَ	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	أنتِ	فعل مضارع مؤكّد	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وياء المخاطبة المحذوفة ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	هو	فعل مضارع مؤكّد	مبني على الفتح		لاتصاله بنون التوكيد		ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	هي	فعل مضارع مؤكّد	مبني على الفتح		لاتصاله بنون التوكيد		ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	أنتما	فعل مضارع مؤكّد	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	أنتما مؤ	فعل مضارع مؤكّد	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	هما	فعل مضارع مؤكّد	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	هما مؤ	فعل مضارع مؤكّد	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	نحن	فعل مضارع مؤكّد	مبني على الفتح		لاتصاله بنون التوكيد	ونا: ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	أنتم	فعل مضارع مؤكّد	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	 والواو: واو الجماعة المحذوفة ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	أنتن	فعل مضارع مؤكّد	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	هم	فعل مضارع مؤكّد	مرفوع وعلامة رفعه النون المحذوفة 		لاتصاله بنون التوكيد ولأنه من الأفعال الخمسة	 والواو: واو الجماعة المحذوفة ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TenseConfirmedFuture	المضارع المؤكد الثقيل	هن	فعل مضارع مؤكّد	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع فاعل	ونون التوكيد لا محل لها من الإعراب
TensePassivePast	الماضي المجهول	أنا	فعل ماض مبني للمجهول	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع فاعل	
TensePassivePast	الماضي المجهول	أنت	فعل ماض مبني للمجهول	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	أنتِ	فعل ماض مبني للمجهول	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	هو	فعل ماض مبني للمجهول	مبني على الفتح الظاهر على آخره	مبني على الفتح المقدّر منع من ظهوره التعذّر			
TensePassivePast	الماضي المجهول	هي	فعل ماض مبني للمجهول	مبني على الفتح الظاهر على آخره	مبني على الفتح المقدّر منع من ظهوره التعذّر			
TensePassivePast	الماضي المجهول	أنتما	فعل ماض مبني للمجهول	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	أنتما مؤ	فعل ماض مبني للمجهول	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	هما	فعل ماض مبني للمجهول	مبني على الفتح الظاهر	مبني على الفتح المقدّر منع من ظهوره التعذّر		وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	هما مؤ	فعل ماض مبني للمجهول	مبني على الفتح الظاهر	مبني على الفتح المقدّر منع من ظهوره التعذّر		وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	نحن	فعل ماض مبني للمجهول	مبني على السكون		 لاتصاله بـ (نا) الفاعلين	ونا: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	أنتم	فعل ماض مبني للمجهول	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	أنتن	فعل ماض مبني للمجهول	مبني على السكون		لاتصاله بالتاء المتحركة	والتاء: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	هم	فعل ماض مبني للمجهول	مبني على الضم		لاتصاله بواو الجماعة	 والواو: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassivePast	الماضي المجهول	هن	فعل ماض مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	 والنون: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveFuture	المضارع المجهول	أنا	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		ونائب الفاعل ضمير مستتر وجوبًا تقديره أنا	
TensePassiveFuture	المضارع المجهول	أنت	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		ونائب الفاعل ضمير مستتر وجوبًا تقديره أنتَ	
TensePassiveFuture	المضارع المجهول	أنتِ	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وياء المخاطبة ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveFuture	المضارع المجهول	هو	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره			
TensePassiveFuture	المضارع المجهول	هي	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره			
TensePassiveFuture	المضارع المجهول	أنتما	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveFuture	المضارع المجهول	أنتما مؤ	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع  نائب فاعل	
TensePassiveFuture	المضارع المجهول	هما	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveFuture	المضارع المجهول	هما مؤ	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveFuture	المضارع المجهول	نحن	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		ونا: ضمير متصل مبني في محل رفع فاعل	
TensePassiveFuture	المضارع المجهول	أنتم	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveFuture	المضارع المجهول	أنتن	فعل مضارع   مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع نائب  فاعل	
TensePassiveFuture	المضارع المجهول	هم	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveFuture	المضارع المجهول	هن	فعل مضارع   مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	أنا	فعل مضارع   مبني للمجهول	مجزوم وعلامة جزمه السكون الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		ونائب الفاعل ضمير مستتر وجوبًا تقديره أنا	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	أنت	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		ونائب الفاعل ضمير مستتر وجوبًا تقديره أنتَ	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	أنتِ	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وياء المخاطبة ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	هو	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره			
TensePassiveJussiveFuture	المضارع المجهول المجزوم	هي	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره			
TensePassiveJussiveFuture	المضارع المجهول المجزوم	أنتما	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	أنتما مؤ	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	هما	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	هما مؤ	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	نحن	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه الضمة الظاهرة على آخره	مرفوع وعلامة رفعه الضمة المقدرة على آخره		ونا: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	أنتم	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	أنتن	فعل مضارع   مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	هم	فعل مضارع   مبني للمجهول	مرفوع وعلامة رفعه ثبوت النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveJussiveFuture	المضارع المجهول المجزوم	هن	فعل مضارع   مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	أنا	فعل مضارع   مبني للمجهول	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر			
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	أنت	فعل مضارع   مبني للمجهول	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر		ونائب الفاعل ضمير مستتر وجوبًا تقديره أنتَ	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	أنتِ	فعل مضارع   مبني للمجهول	منصوب بحذف النون		لأنه من الأفعال الخمسة	وياء المخاطبة ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	هو	فعل مضارع   مبني للمجهول	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر			
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	هي	فعل مضارع   مبني للمجهول	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر			
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	أنتما	فعل مضارع   مبني للمجهول	منصوب بحذف النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	أنتما مؤ	فعل مضارع   مبني للمجهول	منصوب بحذف النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	هما	فعل مضارع   مبني للمجهول	منصوب بحذف النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	هما مؤ	فعل مضارع   مبني للمجهول	منصوب بحذف النون		لأنه من الأفعال الخمسة	وألف الاثنين: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	نحن	فعل مضارع   مبني للمجهول	منصوب بالفتحة الظاهرة على آخره	منصوب بالفتحة المقدرة منع من ظهورها التعذّر		ونا: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	أنتم	فعل مضارع   مبني للمجهول	منصوب بحذف النون		لأنه من الأفعال الخمسة	 والواو: ضمير متصل مبني في محل رفع نائب فاعل	
TensePassiveSubjunctiveFuture	المضارع المجهول المنصوب	أنتن	فعل مضارع   مبني للمجهول	مبني على السكون		لاتصاله بنون النسوة	والنون: ضمير متصل مبني في محل رفع نائب فاعل	
